Bioinforma	acropora	Species	Year	Date	Areas	Location	population	Site	label_plot	GPS_point_	GPS_poin_1	source_file	geometry
BFC19-123-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-124-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-127-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-129-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-130-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-131-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-134-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Courts Knoll	Courts Knoll	-5.30883	72.25233	population_Chagos northern atolls.shp	"c(72.25233, -5.30883)"
BFC19-135-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-136-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-138-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-139-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-140-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-141-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-142-T	Acropora	A.tenuis	2019	11/03/2019	Chagos	SA	Chagos northern atolls	Ile Anglaise lagoon	Ile Anglaise lagoon	-5.33867	72.21333	population_Chagos northern atolls.shp	"c(72.21333, -5.33867)"
BFC19-155-T	Acropora	A.tenuis	2019	12/03/2019	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC19-160-T	Acropora	A.tenuis	2019	12/03/2019	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC19-161-T	Acropora	A.tenuis	2019	12/03/2019	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC19-163-T	Acropora	A.tenuis	2019	12/03/2019	Chagos	SA	Chagos northern atolls	Ile de Passe	Ile de Passe	-5.29883	72.25517	population_Chagos northern atolls.shp	"c(72.25517, -5.29883)"
BFC19-165-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-178-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-254-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-255-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-257-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-260-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC19-262-T	Acropora	A.tenuis	2019	13/03/2019	Chagos	GCB	Chagos northern atolls	Nelson seaward	Nelson seaward	-5.679483333	72.315	population_Chagos northern atolls.shp	"c(72.315, -5.679483333)"
BFC18-337-T	Acropora	A.tenuis	2018	10/04/2018	Chagos	GCB	Chagos western atolls	South Brother	South Brother	-6.173066667	71.5373333	population_Chagos western atolls.shp	"c(71.5373333, -6.173066667)"
BFC18-375-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-376-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-377-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-378-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-380-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-381-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-227-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-240-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-243-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-246-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-248-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-001-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-004-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-012-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-013-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-014-T	Acropora	A.tenuis	2018	30/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-015-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-032-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-033-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-034-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-036-T	Acropora	A.tenuis	2018	01/04/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
