Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
BFC18-223-T,A. aff. tenuis,Chagos northern atolls,2018,06/04/2018,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC18-246-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-257-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-258-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-259-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-260-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-261-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-262-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-263-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-265-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-266-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-269-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-270-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-273-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
